WindSpeed Bin,Turbine,Average of Power,OEM Power 1.8MW (kW),OEM Power 2MW (kW)
25,T05,316.2,1800,2000
6,T09,312.15320762052875,328,328
6,T06,311.7798525308891,328,328
6,T05,307.99607491532186,328,328
6,T07,296.8114166462069,328,328
6,T08,295.4756781865478,328,328
24,T09,289.3529411764706,1800,2000
24,T06,274.2933333333333,1800,2000
25,T04,221,1800,2000
24,T10,207.7,1800,2000
5,T11,206.93440878967576,181,181
5,T12,202.7501908080307,181,181
5,T10,187.48363721365126,181,181
5,T04,177.4077279752706,181,181
25,T08,166.8,1800,2000
5,T05,162.7857402031931,181,181
5,T06,161.68509581263314,181,181
5,T09,159.375866495507,181,181
5,T08,156.47032431524102,181,181
5,T07,146.56331600231087,181,181
25,T09,112.45384615384616,1800,2000
27,T11,85.675,0,0
25,T11,82.42,1800,2000
25,T07,78.71428571428571,1800,2000
4,T11,78.11775179378174,81,81
4,T12,70.09896118097315,81,81
4,T10,60.96087935529752,81,81
4,T04,52.691314496314526,81,81
4,T08,47.91412213740458,81,81
4,T06,47.822636848264224,81,81
4,T05,47.75241333333334,81,81
4,T09,46.54155439121756,81,81
4,T07,43.93305826456605,81,81
3,T11,5.647856104651165,0,0
25,T06,4.5375,1800,2000
3,T12,3.406274552597121,0,0
3,T10,3.0722337613293043,0,0
3,T07,3.0427546777546817,0,0
26,T09,2.257142857142857,0,0
3,T04,2.069651634964736,0,0
3,T06,1.8296222926571581,0,0
3,T05,1.7558500173591003,0,0
3,T08,1.6494838169642858,0,0
3,T09,1.0856672158154865,0,0
2,T07,0.05993788819875776,0,0
2,T08,0.024098717638519233,0,0
2,T11,0.01985372340425532,0,0
2,T10,0.004394224733207784,0,0
2,T06,0.0031387808041504544,0,0
2,T12,0.0009443556588696789,0,0
2,T05,0.000880952380952381,0,0
0,T04,0,0,0
0,T07,0,0,0
0,T08,0,0,0
0,T10,0,0,0
0,T11,0,0,0
1,T04,0,0,0
1,T05,0,0,0
1,T06,0,0,0
1,T07,0,0,0
1,T08,0,0,0
1,T09,0,0,0
1,T10,0,0,0
1,T11,0,0,0
1,T12,0,0,0
2,T04,0,0,0
2,T09,0,0,0
25,T10,0,1800,2000
25,T12,0,1800,2000
26,T05,0,0,0
26,T06,0,0,0
26,T07,0,0,0
26,T08,0,0,0
26,T10,0,0,0
26,T11,0,0,0
26,T12,0,0,0
27,T06,0,0,0
27,T07,0,0,0
27,T08,0,0,0
27,T09,0,0,0
27,T10,0,0,0
27,T12,0,0,0
28,T06,0,0,0
28,T07,0,0,0
28,T08,0,0,0
28,T09,0,0,0
28,T10,0,0,0
28,T11,0,0,0
28,T12,0,0,0
29,T06,0,0,0
29,T09,0,0,0
29,T10,0,0,0
29,T11,0,0,0
30,T07,0,0,0
30,T08,0,0,0
30,T09,0,0,0
30,T10,0,0,0
30,T11,0,0,0
31,T06,0,0,0
31,T08,0,0,0
31,T09,0,0,0
31,T10,0,0,0
32,T09,0,0,0
32,T10,0,0,0
33,T09,0,0,0
